Comentary,Feeling
"great benefits, complementary product, overall great work environment and progressive company overall",1
Great employees and great discount,1
Good Work Environment Decent Benefits,1
Compensation could use some improvement.,0
"Great pay, good tech stack and long term outlook",1
"the beer, the people, the passion, the trade",1
"The whole thing about giving, one for one? Yeah, that's real. The giving and logistics teams know their stuff, and are truly dedicated to what they do. Employees get to go in the field to witness giving firsthand, and it's amazing. The benefits are good, and they work hard to create the impression that you are valued in broad ways, just enough to make you want to stay even if on a long-term basis you might feel sort of worthless. Work/life balance is good.",1
there are talented and friendly colleagues,1
The best atmosphere and the best products,1
as any other retail store you have to be on your feet for long periods of time,0
"Friendly environment
Bonuses for meeting targets",1
"Sales equal hours, pressure to make sales,stressful,",0
"-Stores are often very slow, leading to boredom
-Difficult to be promoted and receive pay raise",0
"Total disconnect between HO and in store staff. 
Marketing initiatives changes daily at a whim. 
Your'e expected to give facials to customers off the street without proper sanitary proctections. 
Sales goals and thus bonuses are unattainable.
Extremely strict personal appearance and behaviour guidelines- you are not allowed to be an individual.
Poor work/life balance. Count on rarely seeing your family and missing events and holidays.
No benefits/sick days/parental leave/ vacation for full-time non-salaried staff (most of their workforce)",0
Indiegogo is a very well rounded place people get together and have fun regularly.Everyone is really passionate about the work and their mission of empowering people. The interview process was awesome and the recruiter was very responsive and upfront. Great place if you are looking to grow as management seems to notice and reward good work.,1
"Stressful, management are not great",0
District managers and corporate management are severely out of touch. Vans has seen a massive decline in sales over the last couple of years because of it.,0
"sometimes overwhelming, but not bad in all honestly.",0
Brand and people are strong,1
Nothing can think of at the moment,0
"good working environment,manager is very nice, clean and nice, coworkers are very nice.good working environment,manager is very nice, clean and nice, coworkers are very nice",1
Great pay for retail. Great company with several charitable and philanthropic core values behind it. Free gratis with new launches of product. Bonuses if the KPIs for each quarter are met or exceeded.,1
"-The company definitely cares about making the world a better place and is willing to re-evaluate how to achieve that.
-The fact that such a thing as ""The Giving Team"" exists is pretty terrific.
-The overwhelming majority of people that work there are great.
-I can't speak to the change in the day-to-day since Covid or the new CEO change but I loved coming in to work every day and being a part of the movement.",1
"High standards, poor management, upper management contradicts each other in how to properly complete tasks, hour cut depending on how supervisor feels",0
I had bad management and poor location.,0
Only pro is 50% off shoes,1
"Company not run very well, very disorganized, a lot of strategic changes",0
None it was a great place,0
"Culture, Everyone at Kickstarter is seriously super awesome and nice. Engineering team has great talent and is always willing to help out whoever.",1
"None
As
Of
Yet
Except some layoffs",0
"Employee discount, flexible scheduling, some fun customer interactions, dress code allows full expression of self (as long as its Vans branded)",1
Unorganized HR is confusing to work with Would allow to many people into the course without enough basic computer skills,0
Work life balance is not so great for the assistant and store managers,0
"More pay, not a lot of room to really expand and show talents and creativity",0
"Discounts, first look at items, pretty easy job, great coworkers, strong relationships",1
"Great team, quality product, fun working environment",1
"So many unconsistent changes, every 3-6 months a new layer of management, or major changes of departments, or some sort of scraping an old strategy and working on a new one.",0
Rather low pay for London,0
Flexible hours; Course at the forefront of knowledge; Collaborative environment and approachable coworkers. I felt like a valued member of the community!,1
No cons the boss knows how to hire so staff is good and pay is decent enough,0
Met some very nice coworkers and had a positive experience. It's also an easy job.,1
"A part of a great, supportive community.",1
Very relaxed work environment and 50% of ice cream,1
CEO is an excellent leader,1
"Lots of inexperienced and poorly trained middle managers
A lot of politics
Lack of transparency; decisions are made at the top",0
the store was small. can use more space,0
- The only con is that there are no cons!!!,0
Flexible and accommodating with scheduling,1
"- Insanely lengthy processes that mimic Microsoft-level org structures when Coursera is really a start-up. Little work gets done efficiently. 
- Lack of trust and micro-management. 
- Everyone wants to have a say in how things get done, which leads to mediocre at best results (surprise!) 
- ""Long-term Vision"", but short-term decision making. If something does not have immediate impact, it gets tossed aside. There is no strategic or practical go-to-market, it just exists on a google slide deck. 
- The leadership at Coursera is very weak. Most just look out for themselves, have no voice, don't push back, and agree to everything to keep their manager happy 
- The biggest red flag: 10%+ of the workforce was laid off before Christmas. Not longer after the layoffs, 'president club' was announced for the first time. Seems like the leadership team has mislaid their moral compass a little bit here. Also makes you wonder how critical those layoffs were, and how much of it is just taking advantage of the current tech hell we're living in.",0
"Bad management, never enough staff, no breaks",0
"Low pay, strict rules, snobby culture and patronising attitudes. I regret slowing my career and savings so much to work here.",0
Lots of personal free time on the clock during the colder slow months,1
they are actively downsizing and the future of the company is up in limbo,0
the company has been laying off staff for several years now; it's stressful,0
"-TOMS employees come with sincere and authentic motives to do something different. And do it differently.
-TOMS is still entrepreneurial, creative and relatively nimble for the size and scale of the business.
-The new leadership coming in does care about the core values and heart of the business, but it also takes times to see evidence of this evolution. We lost our focus, we are coming back. It's happening, but in incremental steps.
-Giving trips, time understanding our work first-hand.
-TOMS is inspiring others in different industries to do something good.
-Some of my colleagues have become lifelong friends.
-We are evolving - of course we are. This is what start-ups do. Some people will evolve with the business, many will not. We'll continue to require new experiences and new perspectives to join us during this journey.",1
"It is a good entry level job for teens who are seeking experience in customer service skills, money handling skills, and food handling skills.",1
"Transfers not gaurenteed, minimum wage",0
"Decent pay
Decent benefits
Easy to work with patrons
Training readily available 
In house progression",1
"- Amazing people; smart, hard-working, creative problem solvers
- Free food
- Flexible/remote work 
- Non-profit mission",1
"good team atmosphere, clear objective",1
can try all the flavor of ice-cream before selling,1
"Working at BrewDog can be fun, you’re going to learn a lot about craft beer and its culture and make some international friends/co-workers. Also, you can taste the Brewdog’s beers for free. It’s a good start, especially if you are an English speaker and a new expat in town.",1
Good company mission that does do good for those in need.,1
"Some late hours, weekends, typical for retail though",0
"Good vibes, smells nice, great people",1
"Awesome staff, hours given upon request/availability, great flow of customers, fast paced learning, & easy tasks for cleanup/closing",1
At times the store would need many people to come in on off days,0
Managers need to be managers,0
"Doesn’t really have unlimited PTO, hustle metrics are a lot— 2.5+ hours talktime and 100 dials are expected daily, not a lot of opportunity to move up in company",0
Retail business full of uncertainty under Covid,0
I enjoyed my time there. there are no cons.,0
Easy and fun place to work for first time job,1
Patient & trustworthy colleagues. Great training & commitment to improving the team,1
"(1) Legacy of academically-oriented founders and executive team: hierarchy and many unnecessary layers for a 200 person company that is not in hyper-growth mode. Decisions get made very slowly and are often bottlenecked for unclear or uncommunicated/miscommunicated reasons.

(2) Ineffectual and untrained middle-management; many of these people managers have no previous experience managing a team, leading to extremely poor NPS results internally as poor expectations are set and people are mismanaged and generally left to fend for themselves.",0
- Not a lot of hours when out of season - Not the best pay typically min wage,0
I can't currently think of any that aren't just retail position related.,0
"Low pay, stores closing/lay offs",0
Free Ice cream for your parents and you. Tips are high on busy days. Fun Job if you're friendly and good with kids.,1
I can't come up with any cons,0
Not necessarily a con but we do run lean as a company and you have to be ready to give 100% and more!,0
"no room for growth, you cannot be promoted as a scooper",0
"Free beer,  Opportunities to travel.",1
"Excellent employee benefits scheme recently introduced, including 10% profit share for all employees. Rewarding environment to work in, recognition given where its due and lots of opportunity to excel if you put in the effort.",1
I really cant think of many cons.,0
"This isn't every store, only the one I worked at in Park Slope, Brooklyn. 

You have to upsell a lot for the waffle cones, and they give you a talk if you weren't selling enough of them that week. It can be pretty annoying. They are very selective when it comes to applicants, but it's an ice cream shop. They treat working there like it's a bigger deal than it really should be. They were low on workers but had a stack of applications in the back office that they didn't even look at, which was infuriating because they would call me to work on days that I said I can't work. Also the people they would hire were terrible workers so they aren't as selective as they think they are. I was asked to work while I'm in class on multiple occasions because they were low on employees.  Once they brought in this woman who quit about 5 years prior because they had no one else. Even after I quit, my former boss was still calling me asking for me to work. I had to block his number.  They also try to cut corners when it comes to costs. The register is slow and outdated, the fridge sometimes has issues.  Among a great deal of other things that needs to be fixed in the store, they refused to fix it because they were low on money. The boss insisted on trying to fix everything himself.  
They were very shady about paying the managers what they were really owed (which really wasn't much only a dollar more than the other cashiers). They did a ton more work for barely any more pay, and they had to come in more for weeks of training.",0
I have no cons at all,0
Lovely staff who are passionate and knowledgable. Opportunities for growth and development if you take them on board. Professionalism is put first. Beautiful products.,1
"Very Friendly, Extremely Personable and work is comfortable",1
Store Managers that have been with Kiehl's since 1861 that need to retire and let knew blood with energy drive new business. Home office is completely out of touch with the day to day business of the stores. Flooding the market with new stores like Starbucks isn't a great business model. Hard to be promoted without putting in many years of service in one position.,0
"laid back culture, fun events, creative environment",1
"Messy management, brand strategy and direction change every year",0
"Great discount on all L'Oreal products, mobility within organization",1
"good, friendly and nice staff",1
Lots of lay offs recently (3 rounds between August 2022 and Feb 2023),0
Admin would take a while.,0
these cultural fit/peer interview was an absolute joke.,0
Processes can sometimes be slower than you would expect of a small startup.,0
They have a large reach to benefit learners.,1
no room for career growth,0
"Holy moly I have never seen a company whose departments act like they aren’t part of the same company striving towards the same goal. Instead of focusing on their own responsibilities, there were constant emails and slacks trying to drag other departments down or point out errors on the website or with social media or about how people don’t like the products. Extremely hostile attitudes in meetings due to inexperienced departments who have been there for too long and haven’t kept up with the changing digital landscape.",0
Lack of communication in the work place,0
"Good pay, good support and generally a happy place.",1
"Cooperative coworkers, shoe discounts, typical breaks and lunches",1
"its ice cream, who doesnt love ice cream? Working here was so fun i loved meeting people.Great working environment.",1
Constantly changing priorities / lack of focus at an executive / senior level,0
"Work intensive , Small team , You have to be quick to understand",0
"Fast-paced, high stress work environment",0
"Fun work environment, reasonable employers. Fantastic tips.",1
Nice people to work with,1
Excellent benefits and values of the company are hard to beat,1
"No career opportunities, salaries extremely low and little to none life/work balance.",0
There are some lack of process between sales and marketing areas.,0
Not many job growth opportunities,0
Room to grow if you are looking to progress within hospitality,1
Not much opportunity for promotion,0
"Knowledgeable team, talented individuals in most departments",1
"Best in the business, great atmosphere, great family to work for, unparalleled work environment.",1
"- Projects rushed, leading to missed opportunity and ultimate failure 
- Staff morale low
- Fear culture from leadership prohibits anyone speaking up, challenging and trying to do the right thing
- CEO outcome led
- High turnover of staff
- Pay not benchmarked
- CEO created false culture. Top down leadership that doesn’t lead by example",0
"- lots of talk about respect and ""intellectual nourishment"", but these are not often reflected in management. communication is pretty terrible. a lot of shine and self-importance among certain departments.
- big issues around sustainability
- wages significantly below industry averages in many roles and departments.. discussion of salaries is frowned upon.  it's implicit  that you should feel lucky to work here and not be driven by money. as a result, attracts lots of  junior staff who need the line on their cv or don't have the financial pressure of kids, a mortgage, whatever. people expected to wear lots of different hats and work long hours for the love of it. But hand cream doesn't pay the bills.
- little opportunity for progression or career advancement
- financial incentives like bonuses, and promotions, are linked to 'goals', this is good in theory but in practice the goals are often hard to measure or quantify. performance review feels more like a check-box exercise
- global expansion of the last five or so years has left staff stretched across the board. retail staff frequently report feeling underresourced and under-supported. HR more focused on new hires than looking after existing staff, despite the platitudes",0
Kiehl’s Since 1851 has a long heritage. Aaron Morse inspired the creation and hand-made preparation of the best hair and skin products in the world throughout the late-20th century. He also insisted on giving back to the community as captured in the philanthropic declaration of the “Mission of Kiehl’s.”,1
Not enough free ice cream!,0
"My only complaint (and this is something of which many are aware) is that in such a collaborative environment, we have A LOT of meetings. The best way to handle it is to say no when you need to actually get stuff done. People understand.

This can be seen as a pro or a con, but I believe people need to be self-directed and self-motivated to be successful at Coursera. Also, priorities can change pretty quickly. Although there is a clear product roadmap, sometimes things don't work as expected and you need to adjust. That's just the nature of technology companies. 

Again, this can go both ways, but we work with some amazing institutions. This shouldn't be surprising, but universities don't move as fast or as open to change as people at a Silicon Valley startup would like. I bet some of the comments of slower-than-ideal forward momentum are tied to that.",0
"Management was not responsive to new ideas and was very slow to follow up on issues raised.

While there were SOP's on how long employees were meant to do a particular task each day these were largely ignored.

""Part time"" workers put in the same hours with none of the benefits of their full time counterparts. 

Part-timers were often left alone to struggle handling many of the teams responsibilities while the full time staff would chit-chat.",0
"They teach you new stuff, and they give you opportunities",1
"Absolutely no career growth or career paths
Teams are being overworked since so many people left.
Untrained managers and that were put in place because they're friends with the founder.
Strong gender bias and rampant sexism.
Irrational deadlines set by one person without any consensus reached",0
Easy and concise training. Fairly easy promotions. Fun working environment. Company values.,1
Meeting all different types of people,1
Distribution of sales target was irrational,0
"-Great Staff
-Good customer service experience",1
"low pay, no growth, no sick pay, no benefits",0
Free ice cream is the best part.,1
"people and culture . 

TOMS lacks a lot of internal competition. Though it is sometimes difficult  to be collaborative, given the structure, the people themselves are highly collaborative, kind, and intelligent. In general, this is why a lot of early employees trudged thru the frustrations and constant lack of clear objectives.",1
"very unhealthy working environment
employees were encouraged to tell things to the manager of each other
no space for moving up 
no personal life at all",0
Small company and remote work= more difficult for communication,0
High expectations and you need to be flexible - I think this is a good thing as you develop hugely as a result but some people may not want this. If you are serious about your career this is a great place to work!,0
Discount Cool co workers Dress code Music,1
"Fun, flexible, discount, team, growth",1
The owner tends to have favoritism.,0
"- fast paced
- tech savvy
- good pay",1
"good training, get to try new products",1
"fantastic products and discount and complimentary products twice yearly, cross-functional teamwork across company network, opportunities to network and learn about business and skin care",1
"Peers are some of the best colleagues I have worked with - kind, respectful, hardworking, smart.",1
"edX has been a great place to work -- there's a great culture of communication across teams, themes, and product lines. Anyone can message anyone thanks to Slack and there's a real sense of community. The people are wonderful, the workplace values balance, and it manifests itself in slack where people often post about their pets, or about logging off to enjoy the weather, or to create custom emojis of which there are hundreds.",1
"One for one, feel like we were doing great things.",1
Company has unreasonable expectations and has lost touch with consumers,0
Head office make some strange and non-sensical decisions,0
"1. Understaff issues: 
Understaff in the whole NY area, afraid to take sick leave because literally no one can cover for you. You feel bad for your coworker who is working with you that day. The hiring process is very lengthy, which helps HR find the most ""Aesop aligned"" person, but it also works against the company by taking too long to find proper support for staff that is already overworked and tired.

2. No room for growth, even harder if you were interested in another department:
I have seen too many talented people left the company (who were tenure and passion with strong KPI's). If you studied a major and had career goal within another department it is impossible for you to transfer, reason being you don't have experience, experiences you can't learn while you're in the store.... Aesop HQ love to  hire externally, including positions that made sense to hire internally (Store managers, Visual Merchandising positions) Retail consultants are there to train a new manager while acting like one and getting hourly pay. 

3. Store budget issues:
Most stores operate with mainly PT staffs, the excuse is that the budget for stores is not high enough to have more than one FT consultant and a store manager. Some stores have a  budget for ""Senior Retail Consultant"" (essentially, Assistant Store Manager)  but depending on how busy the store is, that may not be enough coverage on the floor. FT employees only get health benefits and not PTO, while senior retail consultants gets both. 

4. Responsibilities / Compensation: 
This is not the kind of job where you can just show up and clock in. There are a lot of small tasks you are required to complete even for a PT consultant, which can change if you work at a busier store that has no manager (which happens often). Upper management will say you're not responsible for certain tasks, but you may find yourself doing them anyway because if not the store won't be operating properly (responding to head office emails, ordering product, communicating with other stores for transfers, all this on top of actually selling and working the sales floor.) 

5. Hourly Rate: 
With the increase of minimum wage in NY area, the salary is not competitive enough. it used to be $5 dollars higher, and now it's $3 dollars higher and compared with the amount of work you do, it's not enough.",0
"Wonderful company to work for, they really take care of their employees.",1
Good amount of hours and wage offered,1
In the summer it gets busy.,0
I love the business. Every product is GMO free,1
Wage and employee benefits are minimal,0
"I liked how it was a decent first job. I got basic customer service skills. Free ice cream is always cool and being in a mall location meant getting to know other mall employees and food court discounts. It wasn't hard at all, anyone can work there.",1
"Indiegogo is truly a mission-driven company.

Though we are incredibly busy with the day to day operations of the company, people do not lose sight of our larger purpose: to increase access to capital, to democratize finance, and empower people to fund their passions.

Indiegogo also extends this empowerment to its employees. Even as an entry level analyst, I have been encouraged to pursue projects that I am interested in and have felt that I can impact the organization in a meaningful way. There is no shortage of work to be done so the team recognizes that strict hierarchy and red-tape impede progress. 

I have found myself working with some of the smartest and most friendly people I have ever met. Everyone is approachable and eager to see you succeed.  The more experienced employees will take time out of their busy schedule in order to meet with you and help you plan your career, provide advice and resources, or just to chat to get to know you. 

In summary, not only do you get to create meaningful change, you get to have fun while doing it with awesome people!",1
Products Great full time benefits,1
Good discount and steep discount at least once a month. Good discount across VFC brands; like north face for example. PTO accrual is decent. Did a company wide pay increase awhile back which was very helpful. Lax environment most of the time. Is an easy place to work for people that are still in college because it’s flexible and the hours are short. Very inclusive environment. Great team most of the time. Good customer base. Promotes from within most of the time. If you put in the work you can easily be promoted when a higher position becomes available.,1
"-employee discounts
-hours
-fun work environment",1
"I would meet my sales quota, NOT MAKE COMMISSION, then get sent home after I sold enough so I didnt even get to work my full shift when the only thing I got paid for was my time.",0
Bonus is impossible to achieve,0
"culture, benefits, give back, people",1
"Good team atmosphere, Good Training, Cool company culture",1
"Flexible schedule, good team, training, compensation and opportunity",1
"Free product, paid wellness days, flexible schedule",1
Many promises and opportunity available,1
Industry is struggling. Workload can be high.,0
Positive Friendly Great first job experience good staff,1
The company doesn’t care about you,0
"was great to work, flexible schedule",1
"Scooping ice cream is tedious after a while, like anything though!",0
"Fast growing, aesthetically minded and constantly evolving",1
"Good pay, cool people, great discount",1
"Literally everything else. The executives at this company do not know what they are doing AT ALL. They will criticize everything that retail level employees do without stepping foot into a retail store. When they mess up, they fire retail employees to save themselves. When they succeed, they award executives for their supposed hard work.",0
"Free beer after each shift, the customers and the team",1
"not really many downsides, they are improving",0
-depending on the manager they are strict on what you do on the floor,0
"This company is a good place to work. I will say that having the right management and DM Will change your outlook on wanting to be there and grow. Luckily before I left I was able to experience a positive outlook on the company because management style and encouragement and positive , empathetic energy.",1
None i can think of,0
"Good team 
Good food
Good beer",1
"Outstanding employment opportunity. 
Leadership and Kiehl’s Team all work collaboratively.",1
I enjoyed my awesome co-workers. I enjoyed working with the very interesting and  high end customer base. Great pay for in store work,1
The staff are generally amazing,1
Excellent staff onboarding and ongoing training.,1
Discount. Incentives. Self expression a plus.,1
"busy area, lack of communication",0
Frequently feels understaffed during busiest times due to past year’s sales—not a great model to run off of when the past year or two were during the pandemic…,0
The goals are audacious and the business model is still in flux. This isn't a better mousetrap like Uber cabs; it's a new configuration of a vast complex ecosystem.,0
"Amazing Company, Great Morals and People",1
One of the best workplace atmospheres i have ever worked in / everyone is friendly and willing to help you grow,1
Sometimes it will be understaffed and you will have to learn how to quickly manage big waves of people by yourself,0
"Crowdfunding is going through some transitions as an industry, which has reflected in some internal changeover. Tons of runway to make an impact, but priorities/responsibilities are constantly evolving.",0
Ferociously passionate and intelligent workforce,1
"-TOMS lost the fastball years ago and kept making the same mistakes over and over again rather than innovating. As the brand lost its place in the zeitgeist (and more important, the market) employees were tasked with more and more with fewer and fewer resources (financial or personnel). As a result the output became more stale and repetitive and left people burned out and uninspired, further depressing the brand image. These mistakes were compounded by spending money outside the company on terrible marketing campaigns rather than investing in the people and ideas within the building. Basically it was a pretty unfortunate (and avoidable) downward loop.",0
Better defined career path for advancement in smaller roles/teams,0
"- Education, training and development 
- Colleagues
- Staff discount 
- Leave entitlements",1
"Terrible Pay, micro-managed, disconnect from management, minimal internal growth, lack of integrity, quick to fire men but not women for the same thing.",0
"The job was really about the people, the work is not bad but a little slow on the off-season. The atmosphere is great and fun and management is very understanding.",1
"pressure from upper management
changing the company",0
"Great product, staff, and management.",1
"Perfect job if you're creative
Room to grow
Learn customer service skills
Scoop muscle",1
"Loved working here to help get myself through my last few years of college. The in-store atmosphere was fun-loving and laid-back, reflecting the vibe of the brand. The perks of being an employee were also awesome for a broke college kid!",1
"There was a time when this company was rife with talented and passionate people. It forgot its roots and what made it successful. Those people were either laid off, bullied, managed out or left on their own for better pastures. 
The lay offs is an annual tradition. Some are necessary. Some that should have been let go are still there. They continue to cause the company lots of money with their bad decisions.
Leadership (directors and above) is out of touch with its own team. They favor ""yes"" people. People with differing opinion do not survive here. Hence leadership gets away with terrible ideas and projects.",0
"Disjointed management, too many bosses, no clear direction. A company in search of an identity.",0
"edX comprises a couple of hundred people who have their hearts in the right place. 
- terrific benefits
- opportunity to make a big impact on a global scale",1
Really helpful team leaders and managers,1
Good benefits but never got time to use them,1
Money can be inconsistent at times,0
"Benefits are good and pay is reasonable.
Good family vibe with colleagues.
Very good learning and progression opportunities for hard working individuals.",1
Corparate can be a challange to work with.,0
Benefits are amazing and it is a destination so you stay fairly busy,1
Did not make too much hourly and without tips,0
Low salaries for management positions,0
Horrible management Run down establishment,0
There is a part of the staff who actually cares about their job,1
It doesn't exist anymore as it's it own company,0
the manager was rude and very unprofessional,0
Pay was not too hot,0
Benefits and culture salary and prof development,1
"super busy, small location, rude customers",0
Retail environment can be stressful,0
Had a great manager and team that supported my learning. Enjoyed the transparency and size of the company.,1
Our store did not have a store manager or associate manager for months so a lot of pressure was put on the floor supervisors to run the entire store.,0
Growth within the company lacked momentum. Not much opportunity to evolve with the company.,0
"Compensation, schedule flexibility, employees and customers",1
very long working hours ok,0
Salary increments should be inclined to the current market. Monetary rewards can be reviewed for the motivation of the employees and for retainment of the old employees. Otherwise it's the best place for carrer growth 😊,0
"There are so many perks - whether it's the Unicorn Fund (employee profit share), occasional free beer, gym on-site, good benefits, growth potential, etc. You can really tell the company strives to give back to the staff.
Also working with a team passionate about craft beer can't be beat, as well as being part of something awesome.
The teams I worked with were awesome!",1
"Corporate leaders sometimes have lack of understanding of retail processes and systems first hand, with no former retail experience.

The company experiences normal issues regarding challenging sales months which can place pressure on store teams, though nothing unusual.

Upwards mobility can be challenging if you're not near a head office location or have other stores within your district.

Corporate teams seem to have a blurred line between work responsibilities. In many cases, corporate members push their work onto other corporate members or even onto retail teams; the in-store guidebook is helpful but sometimes hiring and facilitating the presence of a technician should fall into the hands of business manager, the vm team, or operations leader, and not a part-time retail consultant.

Business managers sometimes place preference on sales for certain product categories over others, as opposed to celebrating sales altogether.",0
"Fun staff, great discount, pay.",1
good beginners jobs,1
totally pretentious and the corporate staff look down on retail staff in a very obvious way-,0
"None really, as bar jobs go, can't fault it",0
Too hierarchical and often feels like being talked down to,0
"Clientele, management, pushy sales tactics",0
There's still power in the brand name,1
"Depending on which location you are at, there is not alway room for growth",0
"Awesome Gratis! You get a full gratis 2 times a year ( yes you get to pick what YOU like) and any launch you get all the products free (yes all of them)
Great benefits overall, fun working atmosphere. No shark selling taught here. Just a friendly neighbor approach just the the Kiehl's of 1851. Customers come in over and over again. No weird gifts with purchase or wild incentives the BRAND sells itself!",1
Good pay and free product,1
"The pay is decent for retail but not really enough to live on unless you have roommates or work a second job. Things were sometimes slow so they couldn’t always schedule for a lot of hours, especially in the winter. I’ve also heard since leaving that things have changed significantly and pretty suddenly, ie layoffs and structural changes. I think if you get in with a good store you’ll still like it but I wouldn’t expect tons of hours or stability. It’s also hard to move up but of course this is partly because no one wants to leave lol.",0
High end environment and atmosphere,1
Generous bonus structure based on KPIs,1
Very interesting and unique brand who are working towards more sustainable practices. Great discount on products,1
"worst management system in retail
management racist, rude and unapologetic.
Management are very lazy, with many department store managers failing to turn up to work.
segregation and discrimination against employees",0
"not very organized, no benefits",0
NIce people and benefits here.,1
"Major imbalance in M/F representation on executive team. Executive meetings are basically bro-fests. Pay is not as competitive as other startups. Inexperienced leadership. Really top heavy. Promotions and title inflation are used as retention strategy which can of course be a plus if you're the person being promoted. On the other hand if you're the subordinate, you now have an inexperienced manager who probably has their own inexperienced manager. Blind leading the blind. Another side effect of this is that people leave after a short period of time because they leverage their new title for better pay somewhere else. They have old inefficient systems in place but are reluctant to break them down and start fresh and keep building on top of them instead. Too many short sighted decisions and experiments which they play off as pivoting and say ""we're so nimble"" instead of trying to learn from the mistake. People get hired specifically for these new ideas and then get fired when the project goes sour.

Before you take a job here ask your interviewer about the current team and then ask what it looked like 3 months ago. Ask why your position is open. A lot of people have been fired quietly or have left willingly over the past year. They ask you to write a Glassdoor review your first week so of course there are a lot of five star reviews.",0
"Working with great universities and students, some great employees",1
"Poor organization
Terrible management
Heavy politics
Micromanagers
Terrible policies and procedures",0
"Workload overload
No training to speak of
Stressful work environment",0
"have to lift heavy loads of ice cream when changing the tub, sometimes icecream is too hard to scoop",0
"job flexibility, benefits and great people",1
it’s cool the people are cool easy job and pay is good,1
Difficult to move to different departments,0
"Everything. The creative department is run by the least creative people. They treat their ""Freelance"" people bad. The company that preaches ""caring"" ""family"" ""giving"" uses those words as a tax write off. Some people have VP jobs yet do nothing, while the worker bees do all the work and get no credit. They fired a person on the day he had a family emergency because they thought the stress of his personal matter would affect his work. Is that caring? 

The owner, Blake has no clue how bad his company is failing. I knew this compant was a joke when the owner bragged about selling half the brand to Bain Capital. 

TOMS is a joke. Please don't buy into their BS about caring because its not true.",0
High stress for low pay. Management was poor. Cult like mentality.,0
Some Good coworkers and two weeks paid training,1
"Great Discount
Amazing Product
Competitive Salary
Plenty of education",1
Great Team. Incredible impact at a global scale.,1
"Fun, and friendly people fast",1
My favorite part of going to work each day is the people.,1
Can get hectic in the summer,0
"No real cons, it's a great brand",0
"Good, fun place to work",1
"Salaries were below what you would expect for the accountability and remit of the roles, and in general low in comparison to market rates.
Fearful culture which stemmed from the CEO, Senior Managers often afraid to challenge what CEO said, or wanted to do, despite knowing it wasn’t best approach. Bullying attitude from CEO.
People Director handled removal of roles (when Covid hit) within the People Team terribly and in a manner you would not expect from a HR professional. Extremely disappointing but most likely due to point 2 above.",0
I can't come up with any cons,0
"Honestly, not a lot of bad here; growing pains and a catty work environment. If it's one piece of advice I'd give, remain focused on your work, goals and the company mission. Stay out of the day-to-day office melodrama and, as odd as it may seem/sound, limit your work friendships.  Remaining objective will be your sanity and well-being's saving-grace.",0
"-can be busy sometimes
-kind of expensive, customers sometimes complain",0
"- Relaxed job due to not so busy location
- Reasonable pay for part-time job",1
Too much bureaucracy here. Slow moving culture.,0
"-Very fake & cult-like company culture. You have to adhere to their strict standards that reflects their brand, so that means you have to fake your personality 
-Preaches about sustainability towards the planet but are actually a very wasteful company. Half the product packaging is plastic and there is no option to refill bottles.
-Upper management can be very toxic towards consultants due to very high demands and expectations on KPI targets.
- Very limited career development even though they like to have a career conversation every 6 months. So don't expect you can climb the corporate ladder unless you are already in Head Office.
- Impossible to secure a full-time role as a consultant unless you are middle management; store/counter manager.
-Overall, it's a company that presents a sparkling facade, up until the glass shatters and you all you see are cracks beneath the surface.",0
"Hard to get time off if you're one of the only managers.
Mostly from higher positions within the company, there is not a lot of communication on what is going on online / how it translates to in store.",0
"family environment
customer oriented
great pay + weekend sales gave you money to take home
great first job",1
Everything was bad I hated it,0
The vans radio music sucks and you get virtually no houes,0
"If you are good at your job, you can be taken advantage of. Being in part time management in this company is extremely challenging if you care about your job. It’s all consuming.",0
"Great perks, even if you are part time.
competitive salary
chance to grow within the company 
Great teamwork",1
"-Horrible pay
-Almost impossible to get hired full-time
-Horrible management",0
Good discount on product and shoes.,1
I couldnt eat it all.,0
Harder to get guidance on how to get out of the Customer Support Team. Will be stuck in that role.,0
"Upper management is not aligned.
Culture changed as the organization grew.",0
"Mid pay No benefits for part-time, and only a couple of part-time positions Sometimes long stretches of work",0
"Mean customers, stressful during peak seasons, mean middle managers",0
free ice cream and customers are very polite,1
"Typical start up constraints, as we're still focusing much of our time on organizing our day to day and planning long term.  But more leadership at the top has meant an improvement in our vision and execution",0
"working weekends and holidays, short notice on work schedule.",0
"Gratis (when we get them), Benefits and most importantly my amazing store team and SM & ASM",1
"Sales pressure when traffic is slow. Retail hours, which can be tough when juggling kids different schedules. Schedules never the same.",0
"enjoy, good, learn, grow, team",1
it was an easy job with nice benefits,1
"- Free ice cream
- Great tips, especially in the summer
- Customers are usually in a good mood compared to other restaurants",1
"Fun work environment, great team, and organized yet flexible manager. Your own experiences will depend the type of co-workers you get.",1
You get to “teach” at big name colleges.,1
"*Friendly Coworkers
*Flexible Scheduling 
*Great Employee Discount",1
It was laid back and not too stressful,1
The workload is manageable and the complementary products are nice.,1
Zero accountability for senior management. Lack of clear-sighted high-level strategic vision leads to a ton of sweat towards initiatives that ultimately get killed. A pseudo corporate-activist outsider mindset (was there ever such a thing?). PBC ultimately rang hallow.,0
"Communicative skills, multitasking, problem solving",1
"- strong mission & product company is collectively working on
- strong product growth within market
- transparent communication from EStaff
- extremely supportive to employees, especially during covid",1
No real cons. Only this is that onboarding could be a tad better.,0
